Protein ID,Gene ID,CCDS ID,BioGrid ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
Q9NR09,57448,CCDS33175.2,121521,"cysteine-type endopeptidase inhibitor activity;
ubiquitin conjugating enzyme activity;
ubiquitin-protein transferase activity","Protease inhibitor;
Thiol protease inhibitor;
Transferase","apoptotic process;
cell cycle;
cell division;
labyrinthine layer development;
negative regulation of apoptotic process;
negative regulation of extrinsic apoptotic signaling pathway;
positive regulation of cell proliferation;
protein phosphorylation;
protein ubiquitination;
regulation of cell proliferation;
regulation of cytokinesis;
spongiotrophoblast layer development","Apoptosis;
Cell cycle;
Cell division;
Mitosis;
Ubl conjugation pathway","Cytoskeleton;
Endosome;
Golgi apparatus;
Other locations","Cytoplasm;
Cytoskeleton;
Endosome;
Golgi apparatus;
Membrane",,,"3D-structure;
Complete proteome;
Reference proteome",
Q9NR55,55509,CCDS1508.1,120689,"DNA binding transcription factor activity;
RNA polymerase II proximal promoter sequence-specific DNA binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
transcriptional repressor activity, RNA polymerase II proximal promoter sequence-specific DNA binding;
transcription corepressor activity","Activator;
DNA-binding;
Repressor","dendritic cell differentiation;
myeloid dendritic cell differentiation;
negative regulation of transcription by RNA polymerase II;
response to virus;
transcription by RNA polymerase II","Transcription;
Transcription regulation",Nucleus,Nucleus,,,"Complete proteome;
Reference proteome",
Q9NRC6,51332,CCDS61599.1,119479,"actin binding;
dynactin binding;
dynein intermediate chain binding;
kinesin binding;
myosin tail binding;
protein self-association;
Ras guanyl-nucleotide exchange factor activity;
spectrin binding","Actin capping;
Actin-binding","actin cytoskeleton organization;
actin filament capping;
axon guidance;
ER to Golgi vesicle-mediated transport;
Golgi organization;
lysosomal transport;
MAPK cascade;
protein homooligomerization",,"Cytoskeleton;
Cytosol;
Plasma Membrane;
Other locations","Cytoplasm;
Cytoskeleton",,,"Complete proteome;
Reference proteome",
Q9NRE1,56547,CCDS7752.1,121151,"metalloendopeptidase activity;
zinc ion binding","Hydrolase;
Metalloprotease;
Protease","collagen catabolic process;
negative regulation of inflammatory response;
proteolysis",Collagen degradation,Extracellular region or secreted,"Extracellular matrix;
Secreted",,,"Complete proteome;
Reference proteome",
Q9NRR5,56893,CCDS1127.1,121223,"identical protein binding;
polyubiquitin modification-dependent protein binding",,"autophagy;
negative regulation of autophagosome maturation;
regulation of proteasomal ubiquitin-dependent protein catabolic process",Autophagy,"Cytosol;
Endoplasmic reticulum;
Nucleus;
Other locations","Cytoplasm;
Cytoplasmic vesicle;
Endoplasmic reticulum;
Nucleus",,,"Complete proteome;
Reference proteome",
Q9NRR6,56623,CCDS7000.1,121159,"inositol-polyphosphate 5-phosphatase activity;
phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity",Hydrolase,"inositol phosphate dephosphorylation;
phosphatidylinositol biosynthetic process;
phosphatidylinositol dephosphorylation",Lipid metabolism,"Cytoskeleton;
Cytosol;
Golgi apparatus;
Plasma Membrane;
Other locations","Cell membrane;
Cell projection;
Cilium;
Cytoplasm;
Cytoskeleton;
Golgi apparatus;
Membrane","213300;
610156","Ciliopathy;
Disease mutation;
Joubert syndrome;
Mental retardation;
Obesity","3D-structure;
Complete proteome;
Reference proteome",
Q9NS42,,,,nucleic acid binding,,,,,,,,,
Q9NS69,56993,CCDS13975.1,121308,protein transmembrane transporter activity,Receptor,"positive regulation of apoptotic process;
protein import into mitochondrial matrix;
protein import into mitochondrial outer membrane;
protein insertion into mitochondrial membrane;
protein targeting to mitochondrion","Protein transport;
Translocation;
Transport","Mitochondrion;
Other locations",,,,"Complete proteome;
Direct protein sequencing;
Reference proteome",
Q9NS89,773,,,"calcium ion binding;
voltage-gated calcium channel activity","Calcium channel;
Ion channel;
Voltage-gated channel","calcium ion transport;
cell death;
positive regulation of cytosolic calcium ion concentration;
regulation of ion transmembrane transport","Calcium transport;
Ion transport;
Transport",Plasma Membrane,,,,,
Q9NSC2,6299,CCDS10747.1,112206,"beta-catenin binding;
DNA binding;
DNA binding transcription factor activity;
metal ion binding;
RNA polymerase II proximal promoter sequence-specific DNA binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
sequence-specific DNA binding;
transcriptional repressor activity, RNA polymerase II proximal promoter sequence-specific DNA binding;
transcription regulatory region DNA binding","DNA-binding;
Repressor","adrenal gland development;
branching involved in ureteric bud morphogenesis;
embryonic digestive tract development;
embryonic digit morphogenesis;
gonad development;
heart development;
histone deacetylation;
inductive cell-cell signaling;
kidney development;
kidney epithelium development;
limb development;
mesenchymal to epithelial transition involved in metanephros morphogenesis;
negative regulation of transcription, DNA-templated;
negative regulation of transcription by RNA polymerase II;
neurogenesis;
olfactory bulb interneuron differentiation;
olfactory bulb mitral cell layer development;
olfactory nerve development;
outer ear morphogenesis;
pituitary gland development;
positive regulation of transcription, DNA-templated;
positive regulation of transcription by RNA polymerase II;
positive regulation of Wnt signaling pathway;
somatic stem cell population maintenance;
transcription, DNA-templated;
ureteric bud development;
ureteric bud invasion;
ventricular septum development","Transcription;
Transcription regulation","Nucleus;
Other locations",Nucleus,107480,Deafness,"Complete proteome;
Reference proteome",
Q9NSY1,55589,CCDS34019.1,120735,"AP-2 adaptor complex binding;
ATP binding;
phosphatase regulator activity;
protein serine/threonine kinase activity","Kinase;
Serine/threonine-protein kinase;
Transferase","positive regulation of Notch signaling pathway;
protein phosphorylation;
regulation of bone mineralization;
regulation of clathrin-dependent endocytosis",,"Nucleus;
Other locations",Nucleus,,,"3D-structure;
Complete proteome;
Reference proteome",
Q9NTG1,10343,CCDS14073.1,115625,"calcium channel activity;
calcium ion binding",Ion channel,"acrosome reaction;
detection of mechanical stimulus","Ion transport;
Transport",Other locations,,,,"Complete proteome;
Reference proteome",
Q9NUQ3,55787,CCDS14178.1,120901,"protein heterodimerization activity;
syntaxin binding",,"cell cycle;
regulation of bone mineralization;
regulation of cell cycle;
regulation of cell cycle process;
regulation of transcription, DNA-templated;
transcription, DNA-templated","Cell cycle;
Transcription;
Transcription regulation","Cytosol;
Nucleus","Cytoplasm;
Membrane;
Nucleus",,,"Complete proteome;
Reference proteome",
Q9NUQ8,55324,CCDS3254.1,120605,"ATPase activity;
ATP binding;
cadherin binding",,defense response to virus,Antiviral defense,Other locations,,,,"Complete proteome;
Reference proteome",
Q9NVA2,55752,CCDS34018.1,120870,GTP binding,,"cell cycle;
cell division;
protein heterooligomerization","Cell cycle;
Cell division","Cytoskeleton;
Other locations","Cell junction;
Cell projection;
Cytoplasm;
Cytoskeleton;
Synapse",,,"Complete proteome;
Direct protein sequencing;
Reference proteome",
Q9NVF7,23219,CCDS1539.1,116826,,,,Ubl conjugation pathway,Other locations,"Centromere;
Chromosome;
Kinetochore",,,"Complete proteome;
Reference proteome",
Q9NVH2,25896,CCDS1501.1,117404,,,"cellular response to ionizing radiation;
DNA damage checkpoint;
snRNA 3'-end processing;
snRNA processing;
snRNA transcription by RNA polymerase II",DNA damage,"Nucleus;
Other locations","Chromosome;
Cytoplasm;
Nucleus",,,"Complete proteome;
Reference proteome",
Q9NVI7,55210,CCDS31.1,120506,ATP binding,,"cell growth;
negative regulation of apoptotic process",,"Mitochondrion;
Other locations",,617183,Disease mutation,"Complete proteome;
Direct protein sequencing;
Reference proteome",
Q9NVR7,55171,CCDS3276.1,120470,,,"cell morphogenesis;
maintenance of centrosome location;
maintenance of Golgi location;
regulation of cell migration;
regulation of cell shape",,"Cytoskeleton;
Other locations","Cytoplasm;
Cytoskeleton",,,"Complete proteome;
Reference proteome",
Q9NW13,55131,CCDS55159.1,120437,RNA binding,RNA-binding,"mRNA processing;
RNA splicing","mRNA processing;
mRNA splicing",Nucleus,"Nucleus;
Spliceosome",612079,"Disease mutation;
Mental retardation","Complete proteome;
Direct protein sequencing;
Reference proteome",
Q9NW32,,,,,,,,,,,,,
Q9NWI7,,,,,,,,,,,,,
Q9NX28,,,,,,,,,,,,,
Q9NXG0,54875,CCDS43789.1,120223,"protein binding, bridging;
protein domain specific binding;
protein kinase binding",,"centriole-centriole cohesion;
protein localization to organelle",,"Cytoskeleton;
Cytosol;
Extracellular region or secreted;
Nucleus;
Other locations","Cytoplasm;
Cytoskeleton",,,"Complete proteome;
Reference proteome",
Q9NXG9,,,,,,,,,,,,,
Q9NXJ0,54860,CCDS53638.1,120210,,Receptor,,,Other locations,,,,"Complete proteome;
Reference proteome",
Q9NYB7,,,,,,,,,,,,,
Q9NYJ8,23118,CCDS5214.1,116740,"K63-linked polyubiquitin modification-dependent protein binding;
metal ion binding",,"activation of MAPK activity;
Fc-epsilon receptor signaling pathway;
heart development;
I-kappaB kinase/NF-kappaB signaling;
interleukin-1-mediated signaling pathway;
JNK cascade;
MyD88-dependent toll-like receptor signaling pathway;
negative regulation of autophagy;
nucleotide-binding oligomerization domain containing signaling pathway;
positive regulation of I-kappaB kinase/NF-kappaB signaling;
positive regulation of NF-kappaB transcription factor activity;
positive regulation of protein kinase activity;
stimulatory C-type lectin receptor signaling pathway;
T cell receptor signaling pathway",,"Cytosol;
Endosome;
Nucleus;
Plasma Membrane","Cytoplasm;
Membrane",614980,Disease mutation,"3D-structure;
Complete proteome;
Reference proteome",
Q9NZ56,56776,CCDS31069.2,121199,actin binding,"Actin-binding;
Developmental protein","cellular response to DNA damage stimulus;
cellular response to hypoxia;
establishment of meiotic spindle localization;
formin-nucleated actin cable assembly;
homologous chromosome movement towards spindle pole involved in homologous chromosome segregation;
intracellular signal transduction;
intracellular transport;
multicellular organism development;
negative regulation of apoptotic process;
negative regulation of protein catabolic process;
oogenesis;
polar body extrusion after meiotic divisions;
protein transport;
vesicle-mediated transport","DNA damage;
Protein transport;
Stress response;
Transport","Cytoskeleton;
Cytosol;
Endoplasmic reticulum;
Nucleus;
Plasma Membrane;
Other locations","Cell membrane;
Cytoplasm;
Cytoplasmic vesicle;
Cytoskeleton;
Membrane;
Nucleus",616193,Mental retardation,"3D-structure;
Complete proteome;
Reference proteome",
Q9NZI8,10642,CCDS11543.1,115886,"mRNA 3'-UTR binding;
mRNA 5'-UTR binding;
mRNA binding;
RNA binding;
translation regulator activity",RNA-binding,"CRD-mediated mRNA stabilization;
mRNA transport;
negative regulation of translation;
neuronal stem cell population maintenance;
pallium cell proliferation in forebrain;
regulation of cytokine biosynthetic process;
regulation of mRNA stability;
regulation of mRNA stability involved in response to stress","mRNA transport;
Translation regulation;
Transport","Cytosol;
Nucleus;
Other locations","Cell projection;
Cytoplasm;
Nucleus",,,"3D-structure;
Complete proteome;
Direct protein sequencing;
Reference proteome",
Q9NZM3,50618,CCDS1710.2,119098,"calcium ion binding;
Rho guanyl-nucleotide exchange factor activity;
SH3/SH2 adaptor activity",,"endocytosis;
positive regulation of dendrite extension;
regulation of Rho protein signal transduction","Differentiation;
Endocytosis","Cytoskeleton;
Extracellular region or secreted;
Other locations",Cytoplasm,,,"3D-structure;
Complete proteome;
Reference proteome",
Q9NZM4,29998,CCDS46134.1,119022,,,,,,,,,"Complete proteome;
Reference proteome",
Q9P0J7,56888,CCDS46350.1,121218,"nucleic acid binding;
transferase activity;
zinc ion binding",Transferase,neutrophil degranulation,Ubl conjugation pathway,"Cytosol;
Extracellular region or secreted;
Other locations",,,,"Complete proteome;
Reference proteome",
Q9P0K7,26064,CCDS34142.1,117526,,,"cell differentiation;
spermatogenesis","Differentiation;
Spermatogenesis","Cytoskeleton;
Cytosol;
Nucleus;
Other locations","Cell junction;
Cytoplasm;
Cytoskeleton;
Nucleus",,,"Complete proteome;
Reference proteome",
Q9P0K8,55810,CCDS8587.1,120920,"identical protein binding;
RNA polymerase II proximal promoter sequence-specific DNA binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
sequence-specific DNA binding;
transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding","Activator;
DNA-binding","anatomical structure morphogenesis;
cell differentiation;
negative regulation of angiogenesis;
negative regulation of blood vessel endothelial cell differentiation;
positive regulation of transcription, DNA-templated;
positive regulation of transcription by RNA polymerase II;
positive regulation of vascular smooth muscle cell proliferation","Transcription;
Transcription regulation",Nucleus,Nucleus,,,"Complete proteome;
Reference proteome",
Q9P0U4,30827,CCDS11945.1,119045,"proximal promoter sequence-specific DNA binding;
RNA polymerase II transcription factor activity, sequence-specific DNA binding;
unmethylated CpG binding;
zinc ion binding","Activator;
DNA-binding","histone H3-K4 methylation;
IRE1-mediated unfolded protein response;
positive regulation of transcription, DNA-templated;
regulation of transcription, DNA-templated;
transcription, DNA-templated","Transcription;
Transcription regulation","Cytosol;
Nucleus",Nucleus,,,"3D-structure;
Complete proteome;
Reference proteome",
